Date and Time (UTC),Receiver,Transmitter,Transmitter Name,Transmitter Serial,Sensor Value,Sensor Unit,Station Name,Latitude,Longitude,Transmitter Type,Sensor Precision
2024-05-10 19:03:13,VR2W-108649,A69-1604-37337,,,,,Hat 1
2024-05-10 19:04:05,VR2W-108649,A69-1604-37337,,,,,Hat 1
2024-05-10 19:04:50,VR2W-108649,A69-1604-37337,,,,,Hat 1
2024-05-10 19:13:21,VR2W-108649,A69-1604-37338,,,,,Hat 1
2024-05-10 19:14:15,VR2W-108649,A69-1604-37338,,,,,Hat 1
2024-05-10 19:15:03,VR2W-108649,A69-1604-37338,,,,,Hat 1
2024-05-10 19:16:03,VR2W-108649,A69-1604-37338,,,,,Hat 1
2024-05-10 19:17:02,VR2W-108649,A69-1604-37338,,,,,Hat 1
2024-05-10 19:39:40,VR2W-108649,A69-1604-37338,,,,,Hat 1
2024-05-10 19:40:31,VR2W-108649,A69-1604-37338,,,,,Hat 1
2024-05-10 19:41:12,VR2W-108649,A69-1604-37338,,,,,Hat 1
2024-05-10 19:42:54,VR2W-108649,A69-1604-37338,,,,,Hat 1
2024-05-10 19:43:44,VR2W-108649,A69-1604-37338,,,,,Hat 1
2024-05-10 19:57:01,VR2W-108649,A69-1604-37318,,,,,Hat 1
2024-05-10 19:58:49,VR2W-108649,A69-1604-37318,,,,,Hat 1
2024-05-10 19:58:59,VR2W-108649,A69-1604-37337,,,,,Hat 1
2024-05-10 19:59:48,VR2W-108649,A69-1604-37318,,,,,Hat 1
2024-05-10 20:00:34,VR2W-108649,A69-1604-37337,,,,,Hat 1
2024-05-10 20:00:45,VR2W-108649,A69-1604-37318,,,,,Hat 1
2024-05-10 20:01:24,VR2W-108649,A69-1604-37337,,,,,Hat 1
2024-05-10 20:01:40,VR2W-108649,A69-1604-37318,,,,,Hat 1
2024-05-10 20:02:03,VR2W-108649,A69-1604-37337,,,,,Hat 1
2024-05-10 20:02:30,VR2W-108649,A69-1604-37318,,,,,Hat 1
2024-05-10 20:03:08,VR2W-108649,A69-1604-37318,,,,,Hat 1
2024-05-10 20:03:47,VR2W-108649,A69-1604-37318,,,,,Hat 1
2024-05-10 20:10:07,VR2W-108649,A69-1604-37310,,,,,Hat 1
2024-05-10 20:10:22,VR2W-108649,A69-1604-37311,,,,,Hat 1
2024-05-10 20:10:42,VR2W-108649,A69-1604-37302,,,,,Hat 1
2024-05-10 20:10:52,VR2W-108649,A69-1604-37310,,,,,Hat 1
2024-05-10 20:11:18,VR2W-108649,A69-1604-37311,,,,,Hat 1
2024-05-10 20:11:41,VR2W-108649,A69-1604-37302,,,,,Hat 1
2024-05-10 20:12:12,VR2W-108649,A69-1604-37311,,,,,Hat 1
2024-05-10 20:12:31,VR2W-108649,A69-1604-37310,,,,,Hat 1
